title,authors,date,link
Thinking Fast and Thinking Slow: Digital Devices’ Effects on Cognitive Reflection,"['Kathrin Figl', 'Ulrich Remus']","Published online: 17 Jun 2023 (Vol.40, No.2, 2023)",https://www.tandfonline.com/doi/full/10.1080/07421222.2023.2196769?src=
SocioLink: Leveraging Relational Information in Knowledge Graphs for Startup Recommendations,"['Ruiyun Xu', 'Hailiang Chen', 'J. Leon Zhao']","Published online: 17 Jun 2023 (Vol.40, No.2, 2023)",https://www.tandfonline.com/doi/full/10.1080/07421222.2023.2196771?src=
Blood and Water: Information Technology Investment and Control in Family-owned Businesses,"['Abhishek Kathuria', 'Prasanna P. Karhade', 'Xue (Nancy) Ning', 'Benn R. Konsynski']","Published online: 30 Mar 2023 (Vol.40, No.1, 2023)",https://www.tandfonline.com/doi/full/10.1080/07421222.2023.2172770?src=
"Design Concerns for Multiorganizational, Multistakeholder Collaboration: A Study in the Healthcare Industry","['Scott Thiebes', 'Fangjian Gao', 'Robert O. Briggs', 'Manuel Schmidt-Kraepelin', 'Ali Sunyaev']","Published online: 30 Mar 2023 (Vol.40, No.1, 2023)",https://www.tandfonline.com/doi/full/10.1080/07421222.2023.2172771?src=
Leveraging Low Code Development of Smart Personal Assistants: An Integrated Design Approach with the SPADE Method,"['Edona Elshan', 'Philipp Ebel', 'Matthias Söllner', 'Jan Marco Leimeister']","Published online: 30 Mar 2023 (Vol.40, No.1, 2023)",https://www.tandfonline.com/doi/full/10.1080/07421222.2023.2172776?src=
The Road to Open News: A Theory of Social Signaling in an Open News Production Community,"['Sheila O’Riordan', 'Bill Emerson', 'Joseph Feller', 'Gaye Kiely']","Published online: 30 Mar 2023 (Vol.40, No.1, 2023)",https://www.tandfonline.com/doi/full/10.1080/07421222.2023.2172777?src=
Motivating the Motivationally Diverse Crowd: Social Value Orientation and Reward Structure in Crowd Idea Generation,"['Bei Yan', 'Andrea B. Hollingshead']","Published online: 11 Dec 2022 (Vol.39, No.4, 2022)",https://www.tandfonline.com/doi/full/10.1080/07421222.2022.2127451?src=
The Empirical Reality of IT Project Cost Overruns: Discovering A Power-Law Distribution,"['Bent Flyvbjerg', 'Alexander Budzier', 'Jong Seok Lee', 'Mark Keil', 'Daniel Lunn', 'Dirk W. Bester']","Published online: 26 Aug 2022 (Vol.39, No.3, 2022)",https://www.tandfonline.com/doi/full/10.1080/07421222.2022.2096544?src=
Why do Family Members Reject AI in Health Care? Competing Effects of Emotions,"['Eun Hee Park', 'Karl Werder', 'Lan Cao', 'Balasubramaniam Ramesh']","Published online: 26 Aug 2022 (Vol.39, No.3, 2022)",https://www.tandfonline.com/doi/full/10.1080/07421222.2022.2096550?src=
Multi-Party Certification on Blockchain and Its Impact in the Market for Lemons,"['Ingrid Bauer', 'José Parra-Moyano', 'Karl Schmedders', 'Gerhard Schwabe']","Published online: 7 Jun 2022 (Vol.39, No.2, 2022)",https://www.tandfonline.com/doi/full/10.1080/07421222.2022.2063555?src=
Examining the Impact of Algorithmic Control on Uber Drivers’ Technostress,"['W. Alec Cram', 'Martin Wiener', 'Monideepa Tarafdar', 'Alexander Benlian']","Published online: 7 Jun 2022 (Vol.39, No.2, 2022)",https://www.tandfonline.com/doi/full/10.1080/07421222.2022.2063556?src=
Location-Based Mobile Gaming and Local Depression Trends: A Study of Pokémon Go,"['Zhi (Aaron) Cheng', 'Brad N. Greenwood', 'Paul A. Pavlou']","Published online: 11 Apr 2022 (Vol.39, No.1, 2022)",https://www.tandfonline.com/doi/full/10.1080/07421222.2021.2023407?src=
Uncovering the Truth about Fake News: A Research Model Grounded in Multi-Disciplinary Literature,"['Jordana George', 'Natalie Gerhart', 'Russell Torres']","Published online: 2 Jan 2022 (Vol.38, No.4, 2021)",https://www.tandfonline.com/doi/full/10.1080/07421222.2021.1990608?src=
The Effect of Platform Intervention Policies on Fake News Dissemination and Survival: An Empirical Examination,"['Ka Chung Ng', 'Jie Tang', 'Dongwon Lee']","Published online: 2 Jan 2022 (Vol.38, No.4, 2021)",https://www.tandfonline.com/doi/full/10.1080/07421222.2021.1990612?src=
Competitive Brokerage: How Information Management Capability And Collaboration Networks Act As Substitutes,"['Mariana Giovanna Andrade-Rojas', 'Abhishek Kathuria', 'Benn R. Konsynski']","Published online: 7 Dec 2021 (Vol.38, No.3, 2021)",https://www.tandfonline.com/doi/full/10.1080/07421222.2021.1962596?src=
Protecting Against Threats to Information Security: An Attitudinal Ambivalence Perspective,"['Ka Chung Ng', 'Xiaojun Zhang', 'James Y. L. Thong', 'Kar Yan Tam']","Published online: 7 Dec 2021 (Vol.38, No.3, 2021)",https://www.tandfonline.com/doi/full/10.1080/07421222.2021.1962601?src=
The Use Of Blockchain As A Resource For Combating Corruption In Global Shipping: An Interpretive Case Study,"['Suprateek Sarker', 'Stefan Henningsson', 'Thomas Jensen', 'Jonas Hedman']","Published online: 6 Aug 2021 (Vol.38, No.2, 2021)",https://www.tandfonline.com/doi/full/10.1080/07421222.2021.1912919?src=
The Making of Data Commodities: Data Analytics as an Embedded Process,"['Aleksi Aaltonen', 'Cristina Alaimo', 'Jannis Kallinikos']","Published online: 6 Aug 2021 (Vol.38, No.2, 2021)",https://www.tandfonline.com/doi/full/10.1080/07421222.2021.1912928?src=
Idea Generation in Enterprise Social Media: Open versus Closed Groups and Their Network Structures,"['Wietske van Osch', 'Burcu Bulgurcu']","Published online: 1 Dec 2020 (Vol.37, No.4, 2020)",https://www.tandfonline.com/doi/full/10.1080/07421222.2020.1831760?src=
Drivers of Supplier Participation in Ride-Hailing Platforms,"['Soo Jeong Hong', 'Johannes M. Bauer', 'Kwangjin Lee', 'Nelson F. Granados']","Published online: 18 Nov 2020 (Vol.37, No.3, 2020)",https://www.tandfonline.com/doi/full/10.1080/07421222.2020.1790177?src=
How to Market Smart Products: Design and Pricing for Sharing Markets,['Thomas A. Weber'],"Published online: 18 Nov 2020 (Vol.37, No.3, 2020)",https://www.tandfonline.com/doi/full/10.1080/07421222.2020.1790179?src=
Design Principles for Signal Detection in Modern Job Application Systems: Identifying Fabricated Qualifications,"['Nathan W. Twyman', 'Steven J. Pentland', 'Lee Spitzley']","Published online: 18 Nov 2020 (Vol.37, No.3, 2020)",https://www.tandfonline.com/doi/full/10.1080/07421222.2020.1790201?src=
The Nature of Crowd Work and its Effects on Individuals’ Work Perception,"['David Durward', 'Ivo Blohm', 'Jan Marco Leimeister']","Published online: 1 Mar 2020 (Vol.37, No.1, 2020)",https://www.tandfonline.com/doi/full/10.1080/07421222.2019.1705506?src=
Cyberbullying on Social Networking Sites: The Crime Opportunity and Affordance Perspectives,"['Tommy K. H. Chan', 'Christy M. K. Cheung', 'Randy Y. M. Wong']","Published online: 14 Jun 2019 (Vol.36, No.2, 2019)",https://www.tandfonline.com/doi/full/10.1080/07421222.2019.1599500?src=
"Nuanced Responses to Enterprise Architecture Management: Loyalty, Voice, and Exit","['Lena Hylving', 'Bendik Bygstad']","Published online: 31 Mar 2019 (Vol.36, No.1, 2019)",https://www.tandfonline.com/doi/full/10.1080/07421222.2018.1550549?src=
A Risk Mitigation Framework for Information Technology Projects: A Cultural Contingency Perspective,"['Likoebe M. Maruping', 'Viswanath Venkatesh', 'James Y. L. Thong', 'Xiaojun Zhang']","Published online: 31 Mar 2019 (Vol.36, No.1, 2019)",https://www.tandfonline.com/doi/full/10.1080/07421222.2018.1550555?src=
The “Darth” Side of Technology Use: An Inductively Derived Typology of Cyberdeviance,"['Srinivasan Venkatraman', 'Christy M. K. Cheung', 'Zach W. Y. Lee', 'Fred D. Davis', 'Viswanath Venkatesh']","Published online: 17 Dec 2018 (Vol.35, No.4, 2018)",https://www.tandfonline.com/doi/full/10.1080/07421222.2018.1523531?src=
"How Big Data Analytics Enables Service Innovation: Materiality, Affordance, and the Individualization of Service","['Christiane Lehrer', 'Alexander Wieneke', 'Jan vom Brocke', 'Reinhard Jung', 'Stefan Seidel']","Published online: 15 May 2018 (Vol.35, No.2, 2018)",https://www.tandfonline.com/doi/full/10.1080/07421222.2018.1451953?src=
Beyond Brainstorming: Exploring Convergence in Teams,"['Isabella Seeber', 'Gert-Jan de Vreede', 'Ronald Maier', 'Barbara Weber']","Published online: 2 Jan 2018 (Vol.34, No.4, 2017)",https://www.tandfonline.com/doi/full/10.1080/07421222.2017.1393303?src=
Smart Products for Sharing,['Thomas A. Weber'],"Published online: 17 Aug 2017 (Vol.34, No.2, 2017)",https://www.tandfonline.com/doi/full/10.1080/07421222.2017.1334466?src=
Untangling a Web of Lies: Exploring Automated Detection of Deception in Computer-Mediated Communication,"['Stephan Ludwig', 'Tom van Laer', 'Ko de Ruyter', 'Mike Friedman']","Published online: 5 Oct 2016 (Vol.33, No.2, 2016)",https://www.tandfonline.com/doi/full/10.1080/07421222.2016.1205927?src=
Product Pricing in a Peer-to-Peer Economy,['Thomas A. Weber'],"Published online: 5 Oct 2016 (Vol.33, No.2, 2016)",https://www.tandfonline.com/doi/full/10.1080/07421222.2016.1205933?src=
Anatomy of Successful Business Models for Complex Services: Insights from the Telemedicine Field,"['Christoph Peters', 'Ivo Blohm', 'Jan Marco Leimeister']","Published online: 16 Dec 2015 (Vol.32, No.3, 2015)",https://www.tandfonline.com/doi/full/10.1080/07421222.2015.1095034?src=
